Player Name,Position,Team,Total Fantasy Points,Opposing Team Rank
Andre Roberts,BUF,WR,1.7,7
Deon Yelder,KAN,TE,1.7,28
Geronimo Allison,GNB,WR,3.6,22
Charles Clay,ARI,TE,1.5,27
Zach Line,NOR,RB,2.5,27
Nick Bawden,DET,RB,1.3,16
Drew Sample,CIN,TE,1.3,1
Kaden Smith,NYG,TE,1.1,4
Myles Gaskin,MIA,RB,1.0,6
Albert Wilson,MIA,WR,1.0,23
Ryan Griffin,NYJ,TE,0.8,16
Trey Hopkins,CIN,C/G,0.0,16
Maurkice Pouncey,PIT,C,-2.0,16
James Winchester,KAN,LS,0.0,16
Germain Ifedi,SEA,G/T,-2.0,16
