Player Name,Position,Team,Games Played,Total Fantasy Points,Average Fantasy Points
Dwayne Allen,TE,NWE,13.0,5.7,0.44
Benny Cunningham,RB,CHI,15.0,3.9,0.26
Mike Gillislee,RB,NOR,4.0,4.2,1.05
Jeremy Hill,RB,NWE,1.0,4.1,4.1
Jeremy Langford,RB,ATL,1.0,2.5,2.5
Brian Parker,TE,DEN,13.0,8.3,0.64
Charone Peake,WR,NYJ,13.0,4.5,0.35
Shaun Wilson,RB,TAM,5.0,6.4,1.28
Javon Wims,WR,CHI,4.0,7.2,1.8
Nick Bellore,RB,DET,14.0,5.5,0.39
Travaris Cadet,RB,CAR,1.0,3.2,3.2
Matt Cassel,QB,DET,2.0,1.66,0.83
Orson Charles,TE,CLE,13.0,5.3,0.41
Derrick Coleman,RB,ARI,16.0,4.0,0.25
River Cracraft,WR,DEN,8.0,3.4,0.43
Sean Culkin,TE,LAC,13.0,3.4,0.26
Justin Davis,RB,LAR,11.0,1.9,0.17
Gehrig Dieter,WR,KAN,4.0,3.2,0.8
David Fluellen,RB,TEN,7.0,1.6,0.23
Garrett Gilbert,QB,CAR,1.0,1.6,1.6
KhaDarel Hodge,WR,LAR,14.0,3.7,0.26
Justin Hunter,WR,PIT,5.0,5.1,1.02
Darius Jackson,RB,2TM,4.0,1.6,0.4
Rishard Matthews,WR,2TM,8.0,7.4,0.92
Ray-Ray McCloud,WR,BUF,10.0,7.0,0.7
C.J. Prosise,RB,SEA,5.0,4.9,0.98
Brian Quick,WR,WAS,6.0,4.8,0.8
Keith Smith,RB,OAK,16.0,7.3,0.46
Jonathan Stewart,RB,NYG,3.0,1.7,0.57
Tyrone Swoopes,TE,SEA,1.0,3.3,3.3
De'Lance Turner,RB,BAL,4.0,4.1,1.02
Malik Turner,WR,SEA,6.0,4.0,0.67
Brandon Wilds,RB,JAX,3.0,1.5,0.5
Nick Williams,WR,2TM,4.0,3.7,0.92
Terrance Williams,WR,DAL,3.0,3.8,1.27
Brandon Zylstra,WR,MIN,16.0,3.3,0.21
Ameer Abdullah,RB,2TM,10.0,3.9,0.39
Victor Bolden,WR,2TM,6.0,2.0,0.33
Michael Burton,RB,CHI,8.0,1.6,0.2
Damiere Byrd,WR,CAR,8.0,1.8,0.22
Jamaal Charles,RB,JAX,2.0,3.4,1.7
Sammie Coates,WR,HOU,12.0,2.2,0.18
Alan Cross,TE,TAM,14.0,2.9,0.21
Joshua Dobbs,QB,PIT,5.0,0.82,0.16
Ross Dwelley,TE,SFO,11.0,3.4,0.31
Matt Flanagan,TE,WAS,3.0,2.4,0.8
Robert Griffin,QB,BAL,3.0,0.84,0.28
Justin Hardee,WR,NOR,16.0,2.0,0.12
Keon Hatcher,WR,OAK,3.0,1.8,0.6
Chad Henne,QB,KAN,1.0,1.46,1.46
Robert Kelley,RB,WAS,2.0,0.8,0.4
Marcus Kemp,WR,KAN,16.0,1.7,0.11
Jeremy Kerley,WR,BUF,1.0,2.7,2.7
Darvin Kidsy,WR,WAS,2.0,1.8,0.9
Allen Lazard,WR,GNB,1.0,1.7,1.7
Khari Lee,TE,BUF,2.0,1.5,0.75
Josh Malone,WR,CIN,9.0,2.2,0.24
