Player Name,Position,Team,Games Played,Total Fantasy Points,Average Fantasy Points
Keelan Cole,WR,JAX,16.0,78.7,4.92
Blake Jarwin,TE,DAL,16.0,85.5,5.34
Benny Snell,RB,PIT,13.0,57.9,4.45
Jordan Akins,TE,HOU,16.0,89.8,5.61
David Blough,QB,DET,5.0,55.36,11.07
Eli Manning,QB,NYG,4.0,54.38,13.6
Alex Erickson,WR,CIN,16.0,96.24,6.02
Gerald Everett,TE,LAR,13.0,89.8,6.91
Jacob Hollister,TE,SEA,11.0,93.9,8.54
Tre'Quan Smith,WR,NOR,11.0,71.4,6.49
Darrel Williams,RB,KAN,12.0,67.8,5.65
Allen Hurns,WR,MIA,14.0,83.6,5.97
Dawson Knox,TE,BUF,15.0,79.7,5.31
Chris Thompson,RB,WAS,11.0,93.6,8.51
Will Dissly,TE,SEA,6.0,73.9,12.32
Devlin Hodges,QB,PIT,8.0,51.32,6.42
Russell Gage,WR,ATL,16.0,98.8,6.18
Derrius Guice,RB,WAS,5.0,57.4,11.48
O.J. Howard,TE,TAM,14.0,83.9,5.99
Adam Humphries,WR,TEN,12.0,86.5,7.21
J.D. McKissic,RB,DET,16.0,83.8,5.24
T.J. Hockenson,TE,DET,12.0,80.7,6.72
Demaryius Thomas,WR,NYJ,11.0,85.3,7.75
Olabisi Johnson,WR,MIN,16.0,79.0,4.94
Mike Boone,RB,MIN,16.0,50.0,3.12
Josh Gordon,WR,2TM,11.0,73.7,6.7
Hayden Hurst,TE,BAL,16.0,76.9,4.81
Foster Moreau,TE,OAK,13.0,68.4,5.26
Jalen Richard,RB,OAK,16.0,82.8,5.18
Jordan Wilkins,RB,IND,14.0,54.0,3.86
Vance McDonald,TE,PIT,14.0,83.5,5.96
Albert Wilson,WR,MIA,13.0,89.4,6.88
Patrick Laird,RB,MIA,15.0,66.2,4.41
Ricky Seals-Jones,TE,CLE,14.0,58.9,4.21
Kaden Smith,TE,NYG,9.0,75.8,8.42
Nick Boyle,TE,BAL,16.0,75.1,4.69
Jeff Wilson,RB,SFO,10.0,46.9,4.69
David Moore,WR,SEA,14.0,59.6,4.26
Irv Smith Jr.,TE,MIN,16.0,79.1,4.94
Brandon Bolden,RB,NWE,15.0,50.9,3.39
Justice Hill,RB,BAL,16.0,49.5,3.09
Cody Latimer,WR,NYG,15.0,66.0,4.4
Matt Moore,QB,KAN,6.0,42.26,7.04
Bo Scarbrough,RB,DET,6.0,43.2,7.2
Geronimo Allison,WR,GNB,16.0,73.4,4.59
Josh Hill,TE,NOR,16.0,65.6,4.1
Dion Lewis,RB,TEN,16.0,66.3,4.14
Josh Reynolds,WR,LAR,16.0,61.9,3.87
Damiere Byrd,WR,ARI,11.0,71.9,6.54
Marcus Johnson,WR,IND,8.0,56.7,7.09
Dare Ogunbowale,RB,TAM,16.0,75.3,4.71
Seth Roberts,WR,BAL,16.0,60.1,3.76
Kalen Ballage,RB,MIA,12.0,51.8,4.32
Giovani Bernard,RB,CIN,16.0,68.4,4.28
Miles Boykin,WR,BAL,16.0,50.8,3.18
Nick Foles,QB,JAX,4.0,35.74,8.93
Ryquell Armstead,RB,JAX,16.0,51.2,3.2
Wayne Gallman,RB,NYG,10.0,48.2,4.82
Kelvin Harmon,WR,WAS,16.0,66.94,4.18
Paul Richardson,WR,WAS,10.0,64.5,6.45
DaeSean Hamilton,WR,DEN,16.0,63.7,3.98
Ty Johnson,RB,DET,16.0,60.2,3.76
Isaiah McKenzie,WR,BUF,15.0,63.3,4.22
Jakobi Meyers,WR,NWE,15.0,61.9,4.13
C.J. Uzomah,TE,CIN,16.0,63.2,3.95
Demetrius Harris,TE,CLE,15.0,47.9,3.19
Jonathan Williams,RB,IND,9.0,40.4,4.49
Tavon Austin,WR,DAL,14.0,47.4,3.39
Delanie Walker,TE,TEN,7.0,54.5,7.79
Brandon Allen,QB,DEN,3.0,32.5,10.83
Marvin Hall,WR,DET,9.0,39.8,4.42
Matt Schaub,QB,ATL,6.0,30.9,5.15
Jaron Brown,WR,SEA,14.0,48.0,3.43
Vyncint Smith,WR,NYJ,13.0,48.7,3.75
Greg Ward,WR,PHI,7.0,59.9,8.56
Pharoh Cooper,WR,2TM,13.0,55.5,4.27
Keke Coutee,WR,HOU,9.0,52.8,5.87
Kyle Juszczyk,RB,SFO,12.0,50.6,4.22
Malik Turner,WR,SEA,15.0,45.5,3.03
Charles Clay,TE,ARI,15.0,47.7,3.18
Qadree Ollison,RB,ATL,8.0,30.7,3.84
Chester Rogers,WR,IND,12.0,45.7,3.81
Jeremy Sprinkle,TE,WAS,16.0,56.1,3.51
Jarius Wright,WR,CAR,16.0,56.9,3.56
DeSean Jackson,WR,PHI,3.0,36.9,12.3
Jake Kumerow,WR,GNB,14.0,39.9,2.85
Scott Miller,WR,TAM,10.0,40.6,4.06
Justin Watson,WR,TAM,16.0,42.9,2.68
Jakeem Grant,WR,MIA,10.0,39.9,3.99
N'Keal Harry,WR,NWE,7.0,39.4,5.63
James O'Shaughnessy,TE,JAX,5.0,41.3,8.26
Mark Walton,RB,MIA,7.0,42.0,6.0
Chase Daniel,QB,CHI,3.0,26.0,8.67
Anthony Firkser,TE,TEN,15.0,40.4,2.69
Isaiah Ford,WR,MIA,8.0,48.5,6.06
Marquise Goodwin,WR,SFO,9.0,38.1,4.23
Dontrell Hilliard,RB,CLE,14.0,38.1,2.72
Andy Isabella,WR,ARI,15.0,35.4,2.36
Bilal Powell,RB,NYJ,13.0,33.2,2.55
Trey Quinn,WR,WAS,12.0,49.8,4.15
Damion Ratley,WR,CLE,13.0,38.0,2.92
Maxx Williams,TE,ARI,16.0,41.2,2.58
Dan Arnold,TE,2TM,5.0,32.7,6.54
Ryan Finley,QB,CIN,3.0,24.66,8.22
KeeSean Johnson,WR,ARI,10.0,44.0,4.4
Cordarrelle Patterson,WR,CHI,16.0,29.6,1.85
Ito Smith,RB,ATL,7.0,36.3,5.19
Javon Wims,WR,CHI,16.0,42.6,2.66
Ameer Abdullah,RB,MIN,16.0,39.3,2.46
Myles Gaskin,RB,MIA,7.0,31.4,4.49
Dante Pettis,WR,SFO,11.0,34.54,3.14
Laquon Treadwell,WR,MIN,13.0,33.4,2.57
Olamide Zaccheaus,WR,ATL,10.0,20.5,2.05
JJ Arcega-Whiteside,WR,PHI,16.0,32.9,2.06
Reggie Bonnafon,RB,CAR,16.0,29.3,1.83
Rhett Ellison,TE,NYG,10.0,40.7,4.07
Bennie Fowler,WR,NYG,8.0,44.3,5.54
Byron Pringle,WR,KAN,16.0,35.0,2.19
Darwin Thompson,RB,KAN,12.0,32.1,2.68
Logan Thomas,TE,DET,16.0,39.3,2.46
Duke Williams,WR,BUF,4.0,34.6,8.65
Justin Jackson,RB,LAC,7.0,31.2,4.46
Zay Jones,WR,2TM,15.0,48.9,3.26
Marcedes Lewis,TE,GNB,16.0,36.6,2.29
Tim Patrick,WR,DEN,8.0,37.8,4.72
Ross Dwelley,TE,SFO,16.0,36.1,2.26
Jaeden Graham,TE,ATL,16.0,29.9,1.87
C.J. Ham,RB,MIN,16.0,37.6,2.35
Brian Hoyer,QB,IND,4.0,21.08,5.27
Kalif Raymond,WR,TEN,8.0,29.5,3.69
Parris Campbell,WR,IND,7.0,38.1,5.44
Derek Carrier,TE,OAK,16.0,32.5,2.03
Trevor Davis,WR,3TM,14.0,28.4,2.03
Justin Hardy,WR,ATL,16.0,38.5,2.41
Richie James,WR,SFO,16.0,26.4,1.65
Ian Thomas,TE,CAR,16.0,35.6,2.22
Matt LaCosse,TE,NWE,11.0,32.1,2.92
Ty Montgomery,RB,NYJ,16.0,32.3,2.02
C.J. Prosise,RB,SEA,9.0,28.8,3.2
Vernon Davis,TE,WAS,4.0,28.3,7.08
Darrell Henderson,RB,LAR,13.0,22.4,1.72
Dontrelle Inman,WR,2TM,7.0,30.1,4.3
Josh Rosen,QB,MIA,6.0,17.98,3.0
Jeff Heuerman,TE,DEN,14.0,31.4,2.24
Travis Homer,RB,SEA,16.0,28.0,1.75
Ryan Izzo,TE,NWE,6.0,23.4,3.9
A.J. McCarron,QB,HOU,2.0,16.9,8.45
Cam Newton,QB,CAR,2.0,16.68,8.34
Nick O'Leary,TE,2TM,12.0,29.9,2.49
Devin Smith,WR,DAL,4.0,22.3,5.58
Nick Vannett,TE,2TM,16.0,33.6,2.1
Ben Watson,TE,NWE,10.0,34.3,3.43
T.J. Yeldon,RB,BUF,6.0,29.7,4.95
Andrew Beck,RB,DEN,16.0,24.54,1.53
Robert Griffin,QB,BAL,7.0,16.0,2.29
Hale Hentges,TE,WAS,11.0,24.3,2.21
Robert Tonyan,TE,GNB,11.0,26.0,2.36
Joshua Perkins,TE,PHI,5.0,23.7,4.74
MyCole Pruitt,TE,TEN,16.0,21.0,1.31
Wendell Smallwood,RB,WAS,15.0,23.5,1.57
DeAndre Carter,WR,HOU,16.0,25.2,1.58
Seth Devalve,TE,JAX,12.0,26.0,2.17
Trey Edmunds,RB,PIT,11.0,20.0,1.82
Virgil Green,TE,LAC,15.0,22.8,1.52
Wes Hills,RB,DET,1.0,16.2,16.2
Jesse James,TE,DET,16.0,30.2,1.89
Daniel Brown,TE,NYJ,16.0,20.2,1.26
Keelan Doss,WR,OAK,8.0,24.3,3.04
Rico Gafford,WR,OAK,4.0,14.6,3.65
Mack Hollins,WR,2TM,16.0,22.5,1.41
Jesper Horsted,TE,CHI,6.0,20.7,3.45
Tyler Kroft,TE,BUF,11.0,19.1,1.74
Ben Roethlisberger,QB,PIT,2.0,12.74,6.37
Kerrith Whyte,RB,PIT,6.0,14.1,2.35
Ben Braunecker,TE,CHI,11.0,17.9,1.63
Antonio Brown,WR,NWE,1.0,16.1,16.1
Deon Cain,WR,2TM,13.0,21.4,1.65
Rashard Higgins,WR,CLE,10.0,15.5,1.55
Alec Ingold,RB,OAK,16.0,18.1,1.13
Javorius Allen,RB,NYG,10.0,11.5,1.15
Stephen Carlson,TE,CLE,9.0,16.1,1.79
Darren Sproles,RB,PHI,6.0,15.0,2.5
Tommy Sweeney,TE,BUF,6.0,19.4,3.23
Brandon Zylstra,WR,CAR,8.0,18.6,2.33
Marcell Ateman,WR,OAK,11.0,14.6,1.33
Braxton Berrios,WR,NYJ,16.0,15.5,0.97
Troy Fumagalli,TE,DEN,11.0,15.8,1.44
Deonte Harris,WR,NOR,14.0,9.5,0.68
Andy Janovich,RB,DEN,7.0,15.3,2.19
T.J. Jones,WR,NYG,3.0,12.8,4.27
JJ Nelson,WR,OAK,2.0,13.6,6.8
David Njoku,TE,CLE,4.0,15.1,3.78
Danny Vitale,RB,GNB,15.0,17.0,1.13
Derek Watt,RB,LAC,16.0,13.2,0.82
Mo Alie-Cox,TE,IND,16.0,17.3,1.08
Kenjon Barner,RB,ATL,14.0,9.12,0.65
Christian Blake,WR,ATL,9.0,20.1,2.23
Antonio Callaway,WR,CLE,4.0,16.9,4.22
Luke Falk,QB,NYJ,3.0,8.64,2.88
Robert Foster,WR,BUF,13.0,12.3,0.95
J.P. Holtz,TE,2TM,15.0,16.1,1.07
D'Ernest Johnson,RB,CLE,16.0,15.2,0.95
Marshawn Lynch,RB,SEA,1.0,9.4,9.4
Lee Smith,TE,BUF,16.0,13.1,0.82
Alex Armah,RB,CAR,16.0,9.7,0.61
Nick Bellore,RB,SEA,14.0,10.3,0.74
Ventell Bryant,WR,DAL,12.0,8.5,0.71
Trey Burton,TE,CHI,8.0,22.4,2.8
KhaDarel Hodge,WR,CLE,16.0,11.6,0.73
Trent Sherfield,WR,ARI,16.0,12.0,0.75
Damion Willis,WR,CIN,10.0,17.2,1.72
Luke Willson,TE,SEA,8.0,15.9,1.99
Chad Beebe,WR,MIN,3.0,9.0,3.0
Blake Bell,TE,KAN,15.0,14.7,0.98
Devontae Booker,RB,DEN,16.0,12.6,0.79
Tra Carson,RB,2TM,3.0,10.6,3.53
Cethan Carter,RB,CIN,15.0,9.3,0.62
Chris Hogan,WR,CAR,7.0,14.7,2.1
Troymaine Pope,RB,LAC,14.0,9.4,0.67
Riley Ridley,WR,CHI,5.0,12.9,2.58
Adam Shaheen,TE,CHI,8.0,14.4,1.8
Durham Smythe,TE,MIA,16.0,13.5,0.84
Geoff Swaim,TE,JAX,6.0,19.5,3.25
Spencer Ware,RB,KAN,3.0,12.3,4.1
Dwayne Washington,RB,NOR,16.0,7.6,0.48
Matt Barkley,QB,BUF,2.0,5.96,2.98
Tyler Conklin,TE,MIN,15.0,13.8,0.92
Brett Hundley,QB,ARI,3.0,6.06,2.02
Tevin Jones,WR,PIT,5.0,10.1,2.02
Chris Lacy,WR,DET,7.0,9.0,1.29
Zach Line,RB,NOR,12.0,11.6,0.97
Andre Patton,WR,LAC,13.0,11.6,0.89
Tyrod Taylor,QB,LAC,8.0,6.02,0.75
Clive Walford,TE,MIA,7.0,10.1,1.44
Khari Blasingame,RB,TEN,6.0,9.4,1.57
Deontay Burnett,WR,PHI,1.0,6.8,6.8
Mike Davis,RB,2TM,12.0,11.9,0.99
Patrick DiMarco,RB,BUF,16.0,9.8,0.61
Jon Hilliman,RB,NYG,3.0,8.2,2.73
Alexander Hollins,WR,MIN,5.0,6.6,1.32
Taiwan Jones,RB,HOU,11.0,5.9,0.54
Lance Kendricks,TE,LAC,12.0,8.0,0.67
Devine Ozigbo,RB,JAX,10.0,8.0,0.8
Elijhaa Penny,RB,NYG,16.0,6.8,0.43
Luke Stocker,TE,ATL,15.0,13.3,0.89
Trevon Wesco,TE,NYJ,16.0,6.9,0.43
DeAndrew White,WR,CAR,10.0,9.1,0.91
Cedrick Wilson,WR,DAL,6.0,9.6,1.6
Deon Yelder,TE,KAN,9.0,8.0,0.89
C.J. Anderson,RB,DET,2.0,4.3,2.15
Geremy Davis,WR,LAC,7.0,6.8,0.97
Mike Glennon,QB,OAK,2.0,4.24,2.12
Colt McCoy,QB,WAS,1.0,4.28,4.28
Steven Mitchell,WR,HOU,3.0,5.7,1.9
Jason Moore,WR,LAC,10.0,6.3,0.63
Paul Perkins,RB,DET,4.0,4.8,1.2
Jay Ajayi,RB,PHI,3.0,3.0,1.0
Travis Benjamin,WR,LAC,5.0,9.0,1.8
C.J. Board,WR,JAX,4.0,5.1,1.27
Pharaoh Brown,TE,CLE,9.0,4.7,0.52
Cody Core,WR,NYG,16.0,5.8,0.36
Dalyn Dawkins,RB,TEN,2.0,2.6,1.3
Devin Funchess,WR,IND,1.0,6.2,6.2
Johnny Holton,WR,PIT,16.0,6.0,0.38
Tanner Hudson,TE,TAM,9.0,4.6,0.51
Ishmael Hyman,WR,TAM,2.0,5.4,2.7
Jordan Matthews,WR,2TM,3.0,7.3,2.43
Codey McElroy,WR,TAM,1.0,4.0,4.0
Johnny Mundt,TE,LAR,13.0,6.6,0.51
Andre Roberts,WR,BUF,13.0,5.7,0.44
Drew Sample,TE,CIN,9.0,8.0,0.89
Da'Mari Scott,WR,NYG,5.0,4.7,0.94
Russell Shepard,WR,NYG,3.0,5.5,1.83
Anthony Sherman,RB,KAN,16.0,5.1,0.32
Cam Sims,WR,WAS,7.0,4.7,0.67
Ryan Switzer,WR,PIT,9.0,10.7,1.19
Ross Travis,TE,IND,3.0,7.1,2.37
Nick Bawden,RB,DET,10.0,5.7,0.57
Josh Bellamy,WR,NYJ,7.0,4.0,0.57
Fred Brown,WR,DEN,13.0,4.1,0.32
Michael Crabtree,WR,ARI,2.0,6.2,3.1
Rashard Davis,WR,TEN,1.0,2.6,2.6
Robert Davis,WR,2TM,6.0,3.7,0.62
Ashton Dulin,WR,IND,13.0,3.7,0.28
Tyler Ervin,RB,2TM,10.0,4.1,0.41
Darius Jennings,WR,TEN,8.0,3.7,0.46
Marqise Lee,WR,JAX,6.0,4.9,0.82
T.J. Logan,RB,TAM,12.0,4.3,0.36
Donte Moncrief,WR,2TM,8.0,5.8,0.72
Chris Moore,WR,BAL,14.0,5.1,0.36
Stanley Morgan,WR,CIN,11.0,4.8,0.44
Josh Oliver,TE,JAX,4.0,4.5,1.12
Samaje Perine,RB,2TM,7.0,1.6,0.23
Eric Saubert,TE,CHI,2.0,4.1,2.05
Keith Smith,RB,ATL,16.0,3.1,0.19
Diontae Spencer,WR,DEN,16.0,7.7,0.48
Bobo Wilson,WR,TAM,6.0,4.5,0.75
Zach Zenner,RB,3TM,5.0,3.7,0.74
Josh Adams,RB,NYJ,3.0,1.2,0.4
Antony Auclair,TE,TAM,8.0,2.1,0.26
Tony Brooks-James,RB,PIT,3.0,0.7,0.23
Austin Carr,WR,NOR,6.0,1.9,0.32
Sean Culkin,TE,LAC,4.0,2.2,0.55
Josh Ferguson,RB,WAS,2.0,0.9,0.45
John Franklin,WR,TAM,1.0,1.1,1.1
Ryan Grant,WR,OAK,2.0,5.4,2.7
Will Grier,QB,CAR,2.0,1.32,0.66
Ryan Griffin,QB,TAM,2.0,0.62,0.31
